CUST_OID,AGE_FK,SEGMENT_FK
1,4,8
2,1,32
5,1,34
6,3,55
7,5,20
8,4,16
9,2,8
11,3,1
12,2,13
15,3,46
18,5,11
19,1,3
21,6,46
23,5,46
24,6,13
26,3,30
31,3,46
32,2,30
34,2,20
35,3,45
37,6,47
38,1,46
39,5,55
40,1,54
41,6,30
42,4,19
43,3,47
44,4,1
45,2,20
46,2,13
47,6,22
48,3,53
49,2,13
50,3,34
51,4,51
52,4,21
53,2,22
54,2,21
55,3,54
56,4,11
58,6,22
60,3,18
61,5,14
62,2,20
63,2,8
68,2,30
69,3,20
71,3,46
73,5,20
74,2,9
76,3,35
77,4,9
78,1,46
79,4,13
80,1,17
81,4,11
82,2,52
83,6,35
86,5,10
88,1,35
90,4,53
92,5,21
94,1,30
96,2,22
97,2,20
98,4,11
99,5,19
102,1,13
104,1,54
105,4,16
107,2,55
108,3,44
109,3,54
110,6,20
111,4,1
112,2,1
113,3,13
115,2,11
116,2,20
118,2,13
119,3,54
121,2,19
123,2,13
124,2,51
125,2,35
126,2,47
127,4,47
128,2,52
129,1,3
130,1,13
131,5,20
132,6,22
134,1,13
136,1,2
139,5,54
140,3,46
141,2,52
142,1,20
143,3,13
144,3,35
147,5,1
148,2,13
149,2,20
150,4,20
152,4,21
154,2,21
156,4,12
158,4,46
160,4,31
163,5,3
164,3,13
167,5,19
169,2,52
170,1,1
171,5,45
172,1,10
173,4,30
174,3,19
177,4,11
180,2,34
185,3,25
186,2,30
187,6,49
188,2,13
190,2,13
191,6,2
193,3,54
194,5,34
195,1,3
196,5,55
197,4,20
200,6,55
201,4,46
205,3,1
206,4,13
207,1,44
209,1,30
210,5,32
214,1,13
215,1,13
218,5,35
219,3,12
221,3,14
222,2,32
223,1,13
225,4,7
226,2,31
227,4,52
231,4,35
233,4,10
234,1,13
235,5,20
236,2,30
237,4,34
238,2,40
240,2,13
241,5,47
242,4,12
245,4,13
248,5,54
252,3,19
253,4,13
254,2,1
255,2,24
257,6,54
258,5,47
260,4,10
261,2,47
262,2,30
263,4,35
266,2,30
267,6,8
268,1,13
269,3,34
271,5,2
276,3,1
278,2,20
279,1,46
281,1,13
282,6,23
283,1,46
286,3,1
287,4,20
289,4,46
290,1,19
291,3,47
292,5,54
293,4,13
294,4,52
295,1,3
296,1,13
299,3,52
300,5,20
301,3,34
302,3,1
303,2,16
304,1,41
308,1,16
309,3,19
311,5,47
312,3,13
313,3,20
315,4,10
316,2,30
317,6,11
319,6,19
320,1,54
322,1,47
323,2,34
324,5,23
327,4,52
329,2,30
331,6,17
333,1,22
334,4,45
336,4,9
337,5,3
338,5,20
339,1,10
340,6,34
342,4,8
343,5,46
344,3,20
345,1,20
346,3,4
348,4,35
351,6,34
352,4,13
355,4,13
356,1,1
357,4,12
358,1,34
359,1,1
360,6,47
361,1,20
362,1,16
363,6,11
365,6,1
367,4,20
368,1,30
369,2,2
372,1,46
373,5,20
374,3,35
375,1,13
376,4,45
377,5,10
378,3,54
380,2,34
383,5,35
386,4,8
