CUST_OID,HOLDING_OID
1,12990
2,13358
2,14055
5,12153
6,11702
6,12163
7,12378
8,1154
8,3780
8,11662
9,12356
9,14159
11,16659
12,1372
15,1824
18,4338
18,17113
19,8710
19,9557
21,4644
21,15093
23,17926
24,9621
24,13455
26,6096
31,16700
32,15806
34,8928
34,17398
35,3998
35,8535
37,12519
38,15949
39,11956
40,2538
40,7130
41,3755
42,6955
42,12409
43,8247
43,14220
44,16647
45,7508
46,2025
46,16384
47,3824
47,6337
47,6937
48,865
48,1151
49,1255
49,1839
50,1295
50,3102
50,4428
50,4869
50,15972
50,17207
50,17829
51,1979
52,4384
53,11
54,14014
55,18021
56,16743
58,11352
58,13322
60,12826
61,11101
61,11924
62,5396
62,11319
63,8836
68,1933
69,221
71,3388
71,5476
73,18088
74,12473
76,14343
77,7705
78,4790
79,8930
80,3795
81,7044
82,10412
83,7897
86,5637
88,10885
90,13309
92,11515
94,10317
94,11146
96,9890
97,15567
98,975
98,13319
99,12483
99,14204
99,14338
99,15685
99,16446
99,16973
99,17165
102,3030
102,9051
104,1920
105,3971
107,15948
108,2508
108,15848
109,10864
110,6273
110,6408
111,671
112,16682
112,17841
113,1406
113,16176
115,3280
116,8576
118,17452
118,17663
119,1978
119,10728
119,14634
121,7177
121,11060
123,2064
123,10155
124,11694
124,16636
125,16175
126,12048
127,12972
128,9482
128,11632
129,3150
129,15471
130,10623
130,11422
131,9505
131,14497
132,12463
134,4592
134,10659
136,2857
139,1521
140,16309
141,2445
141,14084
142,9902
143,10786
144,13469
147,5005
148,3577
148,4089
149,13205
150,5045
152,17421
154,13465
154,14133
156,10496
158,9418
158,16460
160,6179
163,7784
163,11821
164,2429
164,12517
164,16819
167,4668
167,7220
167,11420
169,11037
170,5352
171,15961
172,10572
173,8812
173,17094
174,7135
177,14175
180,15668
185,10813
186,12030
186,15299
187,2131
187,10589
188,2205
190,8723
191,8462
193,524
194,2007
194,5225
195,9729
196,7408
197,16392
200,3799
200,14205
200,14485
201,9158
201,17051
205,15797
206,8868
207,9179
209,13523
210,16924
214,7409
214,15289
215,705
215,11203
215,12782
215,17243
218,12150
219,9034
219,11010
219,12883
219,13270
221,6571
222,2315
222,5934
223,13690
225,8380
226,741
226,11220
227,1222
231,3621
233,4636
234,4413
234,11546
235,852
235,8480
235,10629
235,17334
236,11396
237,3687
237,9726
238,14620
238,14821
240,15170
241,137
242,10489
245,272
245,5462
245,18250
248,10766
252,14486
252,16689
253,3209
254,4092
254,5792
255,804
257,5438
258,15622
260,3169
261,9807
262,10287
263,6310
266,5908
267,630
267,5810
267,8101
267,8817
267,9027
268,16111
269,1534
269,2446
269,2669
269,12750
271,15083
276,2947
276,9600
278,7406
279,3915
279,12951
281,11783
282,10103
282,12679
282,13434
283,2181
286,15436
287,11750
287,17476
289,9672
290,15427
291,3569
291,6578
291,12277
292,3274
293,9062
